free_cash_flow,repurchase_of_capital_stock,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,interest_paid_cff,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,dividends_received_cfi,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_intangibles_purchase_and_sale,sale_of_intangibles,purchase_of_intangibles,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,taxes_refund_paid,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,other_non_cash_items,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,operating_gains_losses,earnings_losses_from_equity_investments,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_ppe,net_income_from_continuing_operations,date,repayment_of_debt,issuance_of_debt,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance
-393963000.0,-89390000.0,,-665487000.0,49565334000.0,51412237000.0,,-1846296000.0,-1084272000.0,-1084272000.0,981812000.0,,-1566935000.0,,-89390000.0,-89390000.0,,-1033548000.0,-1033548000.0,260664000.0,2445000.0,-53325000.0,,-53325000.0,-842309000.0,,-987007000.0,-401023000.0,-722543000.0,321520000.0,271524000.0,271524000.0,-1173116000.0,10714261000.0,10286249000.0,802763000.0,-374751000.0,-237281000.0,53350000.0,78778000.0,78778000.0,673527000.0,673527000.0,205356000.0,205356000.0,468171000.0,-20460445000.0,-64797000.0,-20414561000.0,18913000.0,2905975000.0,2022-12-31,,,,,,
59473710000.0,,-5096000.0,-737507000.0,113775818000.0,56830421000.0,-442424000.0,57387821000.0,-2215774000.0,-2215774000.0,-725187000.0,-203923000.0,-1281568000.0,-1281568000.0,-5096000.0,,-5096000.0,-607622000.0,-607622000.0,-71841000.0,12233000.0,2666000.0,2666000.0,,-473804000.0,-95551000.0,-378253000.0,-76876000.0,282378000.0,-359254000.0,60211217000.0,60211217000.0,-1012819000.0,68109684000.0,65875826000.0,1989056000.0,244802000.0,-262255000.0,73952000.0,-1208048000.0,-1208048000.0,692871000.0,692871000.0,234021000.0,234021000.0,458850000.0,-16345778000.0,-55339000.0,-16258951000.0,-31488000.0,2780672000.0,2023-09-30,,,,,,
-13352218000.0,,1348000.0,-814122000.0,89417760000.0,113775818000.0,,-24352294000.0,-10766975000.0,-10766975000.0,0.0,-88195000.0,-1400827000.0,,1348000.0,,1348000.0,-1047223000.0,-1047223000.0,-35117000.0,522924000.0,-187482000.0,,-5054000.0,-512388000.0,76491000.0,-588879000.0,-835160000.0,-609917000.0,-225243000.0,-12538096000.0,-12538096000.0,-860635000.0,12831363000.0,5919575000.0,10997958000.0,,-319479000.0,108865000.0,-1717428000.0,-1717428000.0,673643000.0,673643000.0,241790000.0,241790000.0,431853000.0,-25320201000.0,-78004000.0,-34167092000.0,144612000.0,2065776000.0,2023-12-31,-30263983000.0,20984682000.0,-9279301000.0,-9279301000.0,-30263983000.0,20984682000.0
