tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
7936316.46108,0.216248,1287100000.0,36700000.0,36700000.0,921300000.0,204600000.0,6509400000.0,1323800000.0,1119200000.0,19700000.0,892536316.46108,921300000.0,7010400000.0,523800000.0,522900000.0,1.76,1.76,921300000.0,921300000.0,921300000.0,921300000.0,921300000.0,254200000.0,1175500000.0,36700000.0,36700000.0,19700000.0,-19700000.0,1119200000.0,412100000.0,1700000.0,115700000.0,115700000.0,115700000.0,99900000.0,194800000.0,1531300000.0,6598300000.0,8129600000.0,8065800000.0,2022-12-31
9849000.0,0.201,1620900000.0,49000000.0,49000000.0,733900000.0,221100000.0,6508100000.0,1669900000.0,1448800000.0,-578800000.0,694749000.0,733900000.0,7024500000.0,524400000.0,523500000.0,1.4,1.4,733900000.0,733900000.0,733900000.0,733900000.0,733900000.0,185100000.0,919000000.0,49000000.0,49000000.0,-578800000.0,578800000.0,1448800000.0,418700000.0,3100000.0,123400000.0,123400000.0,123400000.0,97200000.0,195000000.0,1867500000.0,6605800000.0,8473300000.0,8473300000.0,2023-03-31
13856700.0,0.221,1648800000.0,62700000.0,62700000.0,1221100000.0,223400000.0,6881600000.0,1711500000.0,1488100000.0,17700000.0,1172256700.0,1221100000.0,7393000000.0,524800000.0,523800000.0,2.33,2.33,1221100000.0,1221100000.0,1221100000.0,1221100000.0,1221100000.0,347400000.0,1568500000.0,62700000.0,62700000.0,17700000.0,-17700000.0,1488100000.0,405400000.0,4800000.0,117400000.0,117400000.0,117400000.0,101300000.0,181900000.0,1893500000.0,6987600000.0,8881100000.0,8881100000.0,2023-06-30
18341600.0,0.227,1645400000.0,80800000.0,80800000.0,1228500000.0,233900000.0,6678200000.0,1726200000.0,1492300000.0,16300000.0,1166041600.0,1228500000.0,7204100000.0,525300000.0,524100000.0,2.34,2.35,1228500000.0,1228500000.0,1228500000.0,1228500000.0,1228500000.0,360900000.0,1589400000.0,80800000.0,80800000.0,16300000.0,-16300000.0,1492300000.0,414200000.0,6200000.0,122200000.0,122200000.0,122200000.0,103500000.0,182300000.0,1906500000.0,6789900000.0,8696400000.0,8696400000.0,2023-09-30
13606775.117285,0.136477,1663000000.0,99700000.0,99700000.0,1417300000.0,245500000.0,6993700000.0,1762700000.0,1517200000.0,24400000.0,1331206775.117285,1417300000.0,7559400000.0,525600000.0,524300000.0,2.7,2.7,1417300000.0,1417300000.0,1417300000.0,1417300000.0,1417300000.0,224000000.0,1641300000.0,99700000.0,99700000.0,24400000.0,-24400000.0,1517200000.0,445800000.0,17200000.0,125600000.0,125600000.0,125600000.0,108900000.0,194100000.0,1963000000.0,7113600000.0,9076600000.0,9076600000.0,2023-12-31
